timestamp,message,logStreamName
1750362265210,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:25.210Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/oauth/accounts"",""path"":""/oauth/accounts"",""method"":""POST"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/oauth/accounts""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362265562,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:25.562Z"",""caller"":""dynamodb/actor.go:194"",""msg"":""actor created successfully"",""request_id"":""75ce4ed3-5756-4793-bd23-95a507c9c511"",""function_name"":""lesser-auth-2f165c6"",""function_version"":""$LATEST"",""username"":""aron"",""actor_id"":""https://lesser.host/users/aron""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362265565,"END RequestId: 75ce4ed3-5756-4793-bd23-95a507c9c511
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362265565,"REPORT RequestId: 75ce4ed3-5756-4793-bd23-95a507c9c511	Duration: 355.34 ms	Billed Duration: 356 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362267592,"START RequestId: 14b5b601-4927-41d2-9905-3178381a597e Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362267593,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:27.593Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/auth/webauthn/register/begin"",""path"":""/auth/webauthn/register/begin"",""method"":""POST"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/auth/webauthn/register/begin""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362267652,"END RequestId: 14b5b601-4927-41d2-9905-3178381a597e
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362267652,"REPORT RequestId: 14b5b601-4927-41d2-9905-3178381a597e	Duration: 59.45 ms	Billed Duration: 60 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362272146,"START RequestId: 27749d44-9254-4316-a938-6d5657d15ded Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362272146,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:32.146Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/auth/webauthn/register/finish"",""path"":""/auth/webauthn/register/finish"",""method"":""POST"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/auth/webauthn/register/finish""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362272164,"END RequestId: 27749d44-9254-4316-a938-6d5657d15ded
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362272164,"REPORT RequestId: 27749d44-9254-4316-a938-6d5657d15ded	Duration: 18.56 ms	Billed Duration: 19 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274249,"START RequestId: 064ef7f7-b391-498f-935f-cceb66e41954 Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274249,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:34.249Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/oauth/authorize"",""path"":""/oauth/authorize"",""method"":""GET"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/oauth/authorize""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274249,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:34.249Z"",""caller"":""auth/main.go:209"",""msg"":""raw authorize request details"",""query_params"":{""client_id"":""lesser-web"",""redirect_uri"":""https://lesser.host/auth/callback"",""response_type"":""code"",""scope"":""read write follow push"",""state"":""gvxs2l""},""raw_query_string"":""response_type=code&client_id=lesser-web&redirect_uri=https%3A%2F%2Flesser.host%2Fauth%2Fcallback&scope=read+write+follow+push&state=gvxs2l"",""raw_path"":""/lab/oauth/authorize""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274249,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:34.249Z"",""caller"":""auth/main.go:229"",""msg"":""parsed OAuth authorize request"",""response_type"":""code"",""client_id"":""lesser-web"",""redirect_uri"":""https://lesser.host/auth/callback"",""state"":""gvxs2l"",""code_challenge"":"""",""scope"":""read write follow push"",""all_params"":{""client_id"":""lesser-web"",""redirect_uri"":""https://lesser.host/auth/callback"",""response_type"":""code"",""scope"":""read write follow push"",""state"":""gvxs2l""}}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274249,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:34.249Z"",""caller"":""auth/main.go:368"",""msg"":""validating client and redirect URI"",""client_id"":""lesser-web"",""redirect_uri"":""https://lesser.host/auth/callback""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274252,"ValidateRedirectURI - Client lesser-web registered URIs: [https://lesser.host/auth/callback]
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274252,"ValidateRedirectURI - Requested URI: https://lesser.host/auth/callback
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274252,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:34.252Z"",""caller"":""auth/main.go:382"",""msg"":""PKCE not used for this request""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274252,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:34.252Z"",""caller"":""auth/main.go:398"",""msg"":""rendering login page"",""client_id"":""lesser-web"",""redirect_uri"":""https://lesser.host/auth/callback""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274254,"END RequestId: 064ef7f7-b391-498f-935f-cceb66e41954
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362274254,"REPORT RequestId: 064ef7f7-b391-498f-935f-cceb66e41954	Duration: 4.59 ms	Billed Duration: 5 ms	Memory Size: 3008 MB	Max Memory Used: 47 MB	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362285894,"START RequestId: 8fc5f547-eb29-4d4c-aa20-a09f8f4b779f Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362285894,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:45.894Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/auth/webauthn/login/begin"",""path"":""/auth/webauthn/login/begin"",""method"":""POST"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/auth/webauthn/login/begin""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
